id;nombre;horario;salario
1;facilitate Persevering;Fantastic;97439
2;Architect;Beauty dynamic schemas;60278
3;clear-thinking Frozen Licensed;Group hard drive Personal Loan Account;41824
4;Accountability;Aruba Chair portals;77760
5;Ways Liaison engage;disintermediate Assistant generating;83832
6;Bypass;Plastic Movies;7535
7;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;84964
8;Ergonomic Falls;User-friendly;27473
9;white SMTP;Checking Account global Steel;67157
10;Kyrgyz Republic transmit;solution connecting;96797
